,Sierra,AWS_PCluster_Hpc7a-zen4-EFA,HPECray-zen3-MI250X-Slingshot,Magma,Piz Daint,Fugaku,Pascal,Eiger,Tioga,x86_64
**site**,LLNL,,,LLNL,CSCS,RIKEN Center for Computational Science,LLNL,CSCS,LLNL,
**system**,IBM-power9-V100-Infiniband,AWS_PCluster_Hpc7a-zen4-EFA,HPECray-zen3-MI250X-Slingshot,Penguin-icelake-OmniPath,HPECray-haswell-P100-Infiniband,Fujitsu-A64FX-TofuD,Penguin-broadwell-P100-OmniPath,HPECray-zen2-Slingshot,HPECray-zen3-MI250X-Slingshot,x86_64
**integrator.vendor**,IBM,AWS,HPECray,PenguinComputing,HPECray,Fujitsu,Penguin,HPECray,HPECray,
**integrator.name**,AC922,ParallelCluster3.7.2-Hpc7a,EX235a,RelionCluster,,FX1000,,,EX235a,
**processor.vendor**,IBM,AMD,AMD,Intel,Intel,Fujitsu,Intel,AMD,AMD,
**processor.name**,POWER9,EPYC-Zen4,EPYC-Zen3,XeonPlatinum924248C,Xeon-E5-2650v3,A64FX,Xeon_E5-2695_v4,EPYC-7742,EPYC-Zen3,
**processor.ISA**,ppc64le,x86_64,x86_64,x86_64,x86_64,Armv8.2-A-SVE,x86_64,x86_64,x86_64,x86_64
**processor.uArch**,power9,zen4,zen3,icelake,haswell,aarch64,broadwell,zen2,zen3,
**accelerator.vendor**,NVIDIA,,AMD,,NVIDIA,,NVIDIA,,AMD,
**accelerator.name**,V100,,MI250X,,P100,,P100,,MI250X,
**accelerator.ISA**,PTX,,GCN,,PTX,,PTX,,GCN,
**accelerator.uArch**,sm_70,,gfx90a,,sm_60,,sm_56,,gfx90a,
**interconnect.vendor**,Mellanox,AWS,HPECray,Intel,HPECray,Fujitsu,Cornelis,HPECray,HPECray,
**interconnect.name**,EDR-Infiniband,EFA,Slingshot11,OmniPath,Aries,TofuInterconnectD,OmniPath,Slingshot,Slingshot11,
**system-tested.site**,LLNL,AWS,LLNL,LLNL,CSCS,R-CCS,LLNL,CSCS,LLNL,
**system-tested.name**,lassen,,tioga,magma,daint,Fugaku,pascal,daint,tioga,
**system-tested.installation-year**,2018,,2022,2019,2017,2020,2018,2017,2022,
**system-tested.description**,`top500 <https://www.top500.org/system/179398>`_,`aws/hpc7a <https://aws.amazon.com/ec2/instance-types/hpc7a>`_,`top500 <https://www.top500.org/system/180052>`_,`top500 <https://www.top500.org/system/179774>`_,`top500 <https://www.top500.org/system/177824>`_,`top500 <https://www.top500.org/system/179807/>`_,,`top500 <https://www.top500.org/system/177824>`_,`top500 <https://www.top500.org/system/180052>`_,
**top500-system-instances**,Sierra (LLNL),,"Frontier (ORNL), Lumi     (CSC), Tioga    (LLNL)",Magma (LLNL),Piz Daint (CSCS),Fugaku (R-CCS),,,"Frontier (ORNL), Lumi     (CSC), Tioga    (LLNL)",
