cluster,application_name,packages.dependencies.hip.version,Avg time/rank (exc)
tuolumne,amg2023,6.4.2,4.95303581
tuolumne,amg2023,7.2.0,7.45806756025
tioga,amg2023,7.2.0,3.2313512522
tioga,amg2023,7.2.0,3.2891631734
tuolumne,amg2023,7.2.0,6.496999683
tuolumne,amg2023,6.4.2,5.183888398
tioga,amg2023,7.2.0,3.2204759740999997
tioga,amg2023,7.2.0,3.2223542888
tuolumne,amg2023,6.4.2,5.0776794485
tioga,amg2023,6.4.2,2.71390863975
tioga,amg2023,6.4.2,2.70073492545
tuolumne,amg2023,7.2.0,6.15146420535
tioga,amg2023,6.4.2,2.72356565305
tuolumne,amg2023,6.4.2,5.4196964298
tuolumne,amg2023,7.2.0,5.613836117
tuolumne,amg2023,7.2.0,5.7197192573499995
tioga,amg2023,6.4.2,2.70914475088
tioga,amg2023,6.4.2,2.6607490834
tioga,amg2023,7.2.0,3.1862069128
tuolumne,amg2023,6.4.2,5.077977765
tuolumne,kripke,7.2.0,64.2827603102
tuolumne,kripke,7.2.0,61.5779112086
tuolumne,kripke,6.4.2,64.4468956961
tioga,kripke,7.2.0,63.4487072453
tuolumne,kripke,7.2.0,64.4582782815
tioga,kripke,6.4.2,66.4406623773
tuolumne,kripke,7.2.0,64.1130915163
tioga,kripke,6.4.2,66.1892345151
tioga,kripke,7.2.0,63.6252422599
tioga,kripke,6.4.2,66.08754585289999
tuolumne,kripke,6.4.2,63.112061731500006
tioga,kripke,7.2.0,63.5522403179
tioga,kripke,6.4.2,66.19431094340001
tioga,kripke,7.2.0,63.6075736868
tioga,kripke,6.4.2,66.2290921681
tioga,kripke,7.2.0,63.4841068584
tuolumne,kripke,7.2.0,60.6598471488
tuolumne,kripke,6.4.2,65.0303939435
tuolumne,kripke,6.4.2,65.7240585651
tuolumne,kripke,6.4.2,63.5631412724
tuolumne,laghos,6.4.2,215.2535337165
tioga,laghos,7.2.0,325.6713198228
tioga,laghos,7.2.0,328.51199726541
tuolumne,laghos,6.4.2,222.18422821405
tioga,laghos,6.4.2,319.19925300535
tuolumne,laghos,7.2.0,239.2854668843
tioga,laghos,6.4.2,324.05236564363
tioga,laghos,6.4.2,316.3619461371
tioga,laghos,7.2.0,329.24172833915003
tioga,laghos,6.4.2,321.4605436936
tioga,laghos,7.2.0,328.99144623327
tioga,laghos,7.2.0,329.79379179438
tuolumne,laghos,6.4.2,223.36251950625
tuolumne,laghos,7.2.0,219.242581644
tuolumne,laghos,7.2.0,222.4148259085
tuolumne,laghos,6.4.2,198.9558357755
tuolumne,laghos,7.2.0,241.713229277
tioga,laghos,6.4.2,322.0323420914
tuolumne,laghos,6.4.2,202.1600374115
tuolumne,laghos,7.2.0,222.23746691999995
tioga,lammps,7.2.0,13.8308873
tioga,lammps,7.2.0,13.860650800000002
tioga,lammps,7.2.0,13.844650999999999
tioga,lammps,7.2.0,13.8608873
tioga,lammps,7.2.0,13.8350462
tioga,lammps,6.4.2,17.1809276
tioga,lammps,6.4.2,17.2005777
tioga,lammps,6.4.2,17.173735
tioga,lammps,6.4.2,17.201387299999997
tioga,lammps,6.4.2,17.182882700000004
tuolumne,lammps,7.2.0,12.6995823
tuolumne,lammps,7.2.0,12.801035200000001
tuolumne,lammps,7.2.0,12.5765171
tuolumne,lammps,7.2.0,12.553558200000001
tuolumne,lammps,7.2.0,12.5665969
tuolumne,lammps,6.4.2,14.3898671
tuolumne,lammps,6.4.2,14.2744387
tuolumne,lammps,6.4.2,14.3159385
tuolumne,lammps,6.4.2,14.3938524
tuolumne,lammps,6.4.2,14.868374499999998
